id|name|link|faction_id|source_id|role|unit_composition|transport|power_points|priest|psyker|open_play_only|crusade_only|virtual|Cost|cost_per_unit|
000000882|Custodian Guard|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Custodian-Guard|AC|000000024|Troops|If this unit contains 4-5 models, it has <b>Power Rating 11</b>. If this unit contains 6-8 models, it has <b>Power Rating 19</b>. If this unit contains 9 or more models, it has <b>Power Rating 23</b>. Every model is equipped with: guardian spear.||7|||false|false|false||false|
000000883|Venerable Contemptor Dreadnought|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Venerable-Contemptor-Dreadnought|AC|000000024|Elites|A Venerable Contemptor Dreadnought is equipped with: combi-bolter; multi-melta; Dreadnought combat weapon.||8|||false|false|false||false|
000000884|Venerable Land Raider|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Venerable-Land-Raider|AC|000000024|Heavy Support|A Venerable Land Raider is equipped with: twin heavy bolter; 2 twin lascannons.|This model has a transport capacity of 5 <span class="tooltip00143" data-tooltip-content="#tooltip_content00143" data-tooltip-anchor="#tooltip_content00143"><span class="kwb2">&lt;<span class="kwb3">S</span>HIELD</span> <span class="kwb">HOST&gt;</span> <span class="kwb">INFANTRY</span></span> models.|14|||false|false|false||false|
000001446|Trajann Valoris|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Trajann-Valoris|AC|000000024|HQ|Trajann Valoris is equipped with: Watcher’s Axe; misericordia. Your army can only include one <span class="tooltip00144" data-tooltip-content="#tooltip_content00144" data-tooltip-anchor="#tooltip_content00144"><span class="kwb">TRAJANN</span> <span class="kwb">VALORIS</span></span> model.||8|||false|false|false||false|
000001447|Shield-Captain|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Shield-Captain|AC|000000024|HQ|A Shield-Captain is equipped with: guardian spear.||6|||false|false|false||false|
000001448|Shield-Captain in Allarus Terminator Armour|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Shield-Captain-in-Allarus-Terminator-Armour|AC|000000024|HQ|A Shield-Captain in Allarus Terminator Armour is equipped with: balistus grenade launcher; guardian spear.||6|||false|false|false||false|
000001449|Shield-Captain on Dawneagle Jetbike|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Shield-Captain-on-Dawneagle-Jetbike|AC|000000024|HQ|A Shield-Captain on Dawneagle Jetbike is equipped with: hurricane bolter; interceptor lance.||9|||false|false|false||false|
000001450|Custodian Wardens|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Custodian-Wardens|AC|000000024|Elites|If this unit contains 4-5 models, it has <b>Power Rating 12</b>. If this unit contains 6-8 models, it has <b>Power Rating 20</b>. If this unit contains 9 or more models, it has <b>Power Rating 25</b>. Every model is equipped with: guardian spear.||7|||false|false|false||false|
000001451|Vexilus Praetor|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Vexilus-Praetor|AC|000000024|Elites|A Vexilus Praetor is equipped with: guardian spear; vexilla defensor.||6|||false|false|false||false|
000001452|Vexilus Praetor in Allarus Terminator Armour|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Vexilus-Praetor-in-Allarus-Terminator-Armour|AC|000000024|Elites|A Vexilus Praetor in Allarus Terminator Armour is equipped with: balistus grenade launcher; vexilla defensor.||6|||false|false|false||false|
000001453|Allarus Custodians|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Allarus-Custodians|AC|000000024|Elites|Increase this unit’s <b>Power Rating</b> by <b>+3</b> for every additional model it includes. Every model is equipped with: balistus grenade launcher; guardian spear.||3|||false|false|false||false|
000001454|Vertus Praetors|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Vertus-Praetors|AC|000000024|Fast Attack|Increase this unit’s <b>Power Rating</b> by <b>+4</b> for every additional model it includes. Every model is equipped with: hurricane bolter; interceptor lance.||12|||false|false|false||false|
000001458|Contemptor-Achillus Dreadnought|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes/Contemptor-Achillus-Dreadnought|AC|000000146|Elites|A Contemptor-Achillus Dreadnought is equipped with: Achillus dreadspear; 2 lastrum storm bolters.||9|||false|false|false||false|
